"country","mom45ic","mum20ic","mum45ic","mim20ic","mim45ic"
"Angola",671.79311506509,418.819517448842,635.066411657355,329.888734633543,514.649194933584
"Burkina Faso",676.322499428639,427.964360685394,633.929958139308,274.211220229534,433.848119234402
"Burundi",576.442548382432,249.651899719686,511.032329576242,181.654422836417,375.326796183273
"Benin",576.941923465119,312.123758212338,519.660881930967,221.220558161708,373.106603076314
NA,NA,NA,NA,NA,NA
"Democratic Republic of the Congo",640.539681908813,394.14262984355,589.724258862679,282.502559586947,438.821510711481
NA,NA,NA,NA,NA,NA
"Congo",386.699504704783,227.410803830589,322.477378063862,167.992201631878,233.397318596238
NA,NA,NA,NA,NA,NA
"Cameroon",566.407592144983,364.197568679941,512.401109926271,268.323364216688,384.993827209618
NA,NA,NA,NA,NA,NA
"Ethiopia",555.718689815414,232.183478763862,497.906986407125,168.888181620889,367.068612279608
"Gabon",404.026200522641,186.994214858532,340.878134289979,139.679036046132,255.51203743572
"Ghana",444.40886275261,180.656880963224,373.027649413979,129.972856429567,263.535867288656
"Gambia",575.588722664889,258.902376861138,511.752460747038,171.715131817337,321.24445811216
"Guinea",652.9853796685,369.858786717123,612.650302409427,258.029370666574,456.183231602521
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Kenya",416.185031547572,196.791342896874,350.620852396452,147.631390317891,259.124872415123
"Liberia",647.549456044973,328.834579842792,607.867444166017,245.982318418084,463.535005989795
"Lesotho",272.890205857532,200.270884172498,215.130863437372,140.554458698548,152.620972832312
NA,NA,NA,NA,NA,NA
"Mali",703.700540154516,477.432387816465,672.046430423101,323.662173508434,487.476556510839
"Malawi",523.819013401079,286.751941744993,480.209741916529,211.679095868453,360.913448009438
"Mozambique",583.428145033175,372.45294107733,544.54443020386,275.566142194064,410.15178125482
"Namibia",261.300448319553,126.021053941243,203.920374344934,94.906050643568,150.062039773082
"Niger",758.138239134021,511.826509855147,736.322311473122,297.529874977495,500.958947594388
"Nigeria",627.817847653132,365.968909468133,566.214928528279,261.342149924597,420.107652178939
"Rwanda",614.118897936199,202.266886977788,573.681331997039,155.316614742447,400.401006539483
NA,NA,NA,NA,NA,NA
"Sierra Leone",586.474429751008,413.826600355623,543.846271036473,316.876206648588,436.225871572722
"Senegal",498.449770953385,173.941733377147,443.686572991909,123.128742709877,276.057099572437
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Chad",631.084351743928,458.246925135764,582.555358567482,325.983176296681,443.603925194695
"Togo",527.991884365361,251.327693504461,453.64623100206,179.272205822241,313.56299999983
"Tanzania",491.059189408793,231.719138735524,438.083499638694,174.954590174391,326.764727228545
"Uganda",540.796106389324,302.288268689987,489.866286134196,227.967060423135,367.375304534212
"South Africa",192.451437542319,94.8733071113734,148.151519038687,72.863939397364,107.688507458071
"Zambia",488.382306898232,293.404085718346,443.038377777671,218.319719753613,331.288390234879
"Zimbabwe",242.972559484516,190.362844893403,194.156202348703,138.15366554136,138.713517923208
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Egypt",270.026058091963,70.8612736212218,246.09872044463,57.3784578796751,193.032691388289
NA,NA,NA,NA,NA,NA
"Jordan",139.374471713328,46.2307691593903,121.687210279646,40.8309259005188,105.325407109167
"Comoros",482.799984902739,227.835932544036,432.834214457772,177.211091397711,337.629748756654
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Yemen ",545.660442575435,198.180224920478,498.145521956271,158.549565523506,396.364170278361
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Bangladesh",386.943264649343,121.050902677383,354.811055122091,97.1230019137623,270.079555390116
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Indonesia",171.884807566287,57.002767484655,148.95448611849,47.9569063374127,118.054409289654
"India",330.883813820479,134.435584852505,298.957687295762,108.272169976664,227.522233638979
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Kyrgyzstan",243.517310124568,83.7238107142339,228.397132038192,74.0388722003931,196.153493738433
"Cambodia",409.421191694472,116.356707462803,340.34172239381,100.724447841503,269.675351461326
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Myanmar",253.699009447228,89.6074874241522,213.79203112739,71.8265360532759,163.945897582691
NA,NA,NA,NA,NA,NA
"Maldives",231.050636483074,22.3679791508792,209.300182321609,19.8647729583604,166.44334641278
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Papua New Guinea",324.819675467884,152.853685168053,280.13239908805,123.895555903633,222.97803071165
"Philippines",180.242298280805,62.7225258869698,149.400506846775,49.9613342781077,114.451564279066
"Pakistan",443.396234721062,206.334062997837,420.452346583149,174.216118331316,348.707780489232
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Tajikistan",354.596043283307,116.982473778197,328.315592122476,102.624980367057,258.845492108998
NA,NA,NA,NA,NA,NA
"Timor-Leste",492.666953707227,177.552088848677,458.852162709569,146.845564865373,367.915312667966
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Albania",87.6848672582262,21.7117281167902,76.8143398816139,17.7555609695373,65.2429099841363
"Armenia",105.839219068212,35.5983699712017,100.063025451552,31.3628639696775,86.1117621185223
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Turkey",236.07888988845,48.7419097962173,192.929642848614,37.183737899596,156.82177453339
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Colombia",106.192155793729,32.4126391522119,77.0973257533734,28.1513640274259,64.7744302563314
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Dominican Republic",189.059203977913,73.9333035252975,164.810465713206,67.7587736352824,148.143947639821
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Guatemala",300.962854029626,92.112814466548,258.289010750499,76.8579324848489,206.505435871698
NA,NA,NA,NA,NA,NA
"Honduras",285.996927544509,91.6252279424346,241.391854919392,66.800499071833,179.23818920476
"Haiti",409.917115168746,164.11797044668,344.526255134644,118.158636922673,254.454591564491
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Peru",235.607960920094,50.7972405543639,204.297435692292,41.3070224673455,156.240570198949
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
